user_id,book_id,stay_time,scroll_depth,timestamp,purchased,rented,label,title,author,genre,price
91,B2397,109,81,2025-08-13 08:46:32,1,1,1,책 제목 467,히가시노 게이고,로맨스,19472
79,B8173,16,30,2025-08-04 05:49:01,0,0,0,책 제목 852,조정래,SF,16578
71,B8520,144,88,2025-08-24 01:33:45,1,0,1,책 제목 353,공지영,역사,13638
49,B8908,84,38,2025-08-29 01:39:54,0,0,0,책 제목 649,베르나르 베르베르,추리,13454
14,B8910,11,22,2025-08-19 10:13:43,0,0,0,책 제목 723,무라카미 하루키,철학,17678
78,B3976,277,92,2025-08-22 11:48:46,1,0,1,책 제목 711,히가시노 게이고,SF,14061
66,B8116,294,82,2025-08-28 15:38:47,1,1,1,책 제목 963,정세랑,철학,18022
53,B7923,182,86,2025-08-18 08:09:49,1,1,1,책 제목 911,히가시노 게이고,SF,16600
89,B3664,200,78,2025-08-10 03:47:47,1,1,1,책 제목 814,조정래,추리,13775
80,B7459,143,78,2025-08-14 05:57:00,1,0,1,책 제목 60,조정래,에세이,15347
50,B6982,25,0,2025-08-12 08:05:32,0,0,0,책 제목 724,조정래,역사,11620
61,B2734,97,8,2025-08-26 17:10:49,0,0,0,책 제목 900,히가시노 게이고,자기계발,15659
25,B4981,215,82,2025-08-16 09:50:20,1,0,1,책 제목 90,무라카미 하루키,철학,22167
10,B3927,217,79,2025-08-24 08:05:28,1,0,1,책 제목 582,베르나르 베르베르,소설,19497
51,B5374,88,10,2025-08-30 14:30:17,0,0,0,책 제목 782,무라카미 하루키,에세이,14297
31,B5482,19,30,2025-08-17 23:05:44,0,0,0,책 제목 812,히가시노 게이고,소설,19834
85,B8045,199,73,2025-08-29 03:14:25,1,0,1,책 제목 239,한강,SF,18560
47,B6805,121,73,2025-08-20 04:11:11,1,0,1,책 제목 328,히가시노 게이고,자기계발,22771
81,B9412,299,83,2025-08-18 09:13:45,1,0,1,책 제목 621,무라카미 하루키,자기계발,19153
78,B2239,110,92,2025-08-28 13:30:12,1,1,1,책 제목 974,한강,로맨스,13476
29,B6541,224,82,2025-08-04 05:21:35,1,1,1,책 제목 624,조정래,추리,14131
33,B2683,198,89,2025-08-04 23:19:10,1,1,1,책 제목 233,조정래,로맨스,18320
15,B1770,33,46,2025-08-28 09:47:09,0,0,0,책 제목 248,베르나르 베르베르,철학,11138
41,B2167,110,97,2025-08-08 22:24:53,1,1,1,책 제목 698,무라카미 하루키,철학,24312
70,B6797,24,13,2025-08-28 08:30:30,0,0,0,책 제목 191,한강,SF,19508
94,B8565,184,95,2025-08-02 13:33:50,1,0,1,책 제목 189,조정래,로맨스,23528
80,B7074,20,40,2025-08-11 19:51:50,0,0,0,책 제목 361,히가시노 게이고,역사,14314
83,B9476,18,15,2025-08-23 03:31:54,0,0,0,책 제목 513,조정래,자기계발,17283
12,B4650,85,1,2025-08-07 22:45:38,0,0,0,책 제목 620,정세랑,SF,16354
43,B3974,172,98,2025-08-24 02:12:21,1,1,1,책 제목 65,김훈,철학,17786
17,B9114,24,47,2025-08-17 05:57:44,0,0,0,책 제목 664,정세랑,추리,17141
66,B1438,286,73,2025-08-25 21:38:02,1,0,1,책 제목 265,김훈,역사,12555
58,B5491,24,21,2025-08-15 00:55:10,0,0,0,책 제목 620,베르나르 베르베르,추리,10947
63,B8248,8,41,2025-08-21 07:31:29,0,0,0,책 제목 406,공지영,철학,11387
31,B5381,52,24,2025-08-22 01:50:42,0,0,0,책 제목 812,정세랑,역사,19506
75,B1921,219,73,2025-08-06 23:32:51,1,1,1,책 제목 402,조정래,SF,21657
60,B6767,186,72,2025-08-09 17:28:25,1,1,1,책 제목 39,베르나르 베르베르,역사,16040
76,B3360,276,87,2025-08-15 02:20:15,1,0,1,책 제목 299,김훈,에세이,11716
30,B6995,97,41,2025-08-15 12:50:02,0,0,0,책 제목 210,조정래,SF,13793
36,B5136,6,14,2025-08-05 14:15:04,0,0,0,책 제목 717,정세랑,철학,13748
31,B2782,57,14,2025-08-20 09:57:45,0,0,0,책 제목 638,히가시노 게이고,철학,24895
88,B3771,129,94,2025-08-22 03:22:05,1,1,1,책 제목 833,공지영,에세이,17470
49,B3380,35,27,2025-08-28 04:19:39,0,0,0,책 제목 774,김훈,로맨스,10797
30,B2143,287,80,2025-08-14 17:00:46,1,1,1,책 제목 925,한강,로맨스,16036
42,B5531,51,20,2025-08-11 07:46:48,0,0,0,책 제목 677,베르나르 베르베르,자기계발,14673
44,B5551,18,49,2025-08-10 16:38:49,0,0,0,책 제목 807,정세랑,로맨스,23895
75,B8495,243,95,2025-08-21 13:33:59,1,1,1,책 제목 782,한강,역사,13228
1,B5841,226,78,2025-08-04 12:44:22,1,0,1,책 제목 429,공지영,자기계발,13072
29,B8411,191,71,2025-08-12 12:42:41,1,1,1,책 제목 232,무라카미 하루키,역사,15919
36,B3207,31,34,2025-08-07 08:25:23,0,0,0,책 제목 248,조정래,에세이,15292
21,B8597,239,74,2025-08-17 15:00:57,1,1,1,책 제목 488,정세랑,소설,23200
13,B5047,52,20,2025-08-29 07:41:30,0,0,0,책 제목 463,조정래,소설,23043
61,B5165,239,95,2025-08-15 12:46:04,1,1,1,책 제목 277,베르나르 베르베르,로맨스,17783
53,B1033,114,73,2025-08-10 20:59:19,1,0,1,책 제목 399,히가시노 게이고,SF,20860
51,B7568,142,99,2025-08-23 06:33:21,1,1,1,책 제목 107,히가시노 게이고,로맨스,22060
53,B7147,129,83,2025-08-28 13:28:26,1,1,1,책 제목 818,베르나르 베르베르,소설,18787
43,B2263,19,15,2025-08-10 21:41:35,0,0,0,책 제목 944,김훈,추리,23732
69,B8238,237,89,2025-08-30 01:11:47,1,1,1,책 제목 260,김훈,로맨스,13970
90,B9023,10,49,2025-08-19 21:02:49,0,0,0,책 제목 442,히가시노 게이고,소설,24121
3,B2774,92,7,2025-08-04 03:13:24,0,0,0,책 제목 515,무라카미 하루키,철학,13983
97,B9513,77,9,2025-08-28 07:25:51,0,0,0,책 제목 766,히가시노 게이고,로맨스,17248
75,B3027,273,92,2025-08-25 03:49:02,1,0,1,책 제목 927,베르나르 베르베르,소설,10726
88,B5357,69,5,2025-08-22 19:05:45,0,0,0,책 제목 66,한강,SF,10091
54,B5182,38,32,2025-08-15 03:59:39,0,0,0,책 제목 890,한강,역사,15801
17,B2927,22,8,2025-08-05 21:57:12,0,0,0,책 제목 458,공지영,역사,19244
70,B9513,262,81,2025-08-22 18:08:52,1,1,1,책 제목 887,한강,SF,23998
1,B1662,41,49,2025-08-02 19:29:07,0,0,0,책 제목 365,공지영,역사,10641
31,B9971,135,80,2025-08-10 12:42:26,1,1,1,책 제목 8,베르나르 베르베르,철학,22046
53,B1858,191,75,2025-08-29 09:15:50,1,0,1,책 제목 710,히가시노 게이고,소설,21496
67,B9860,266,87,2025-08-17 23:08:09,1,0,1,책 제목 826,히가시노 게이고,SF,12612
42,B4889,213,97,2025-08-27 08:03:39,1,1,1,책 제목 281,히가시노 게이고,자기계발,17697
89,B8322,84,23,2025-08-02 10:06:12,0,0,0,책 제목 111,김훈,철학,24179
